title,link,description,published_at
UK Youth Parliament looks set to be axed,https://www.bbc.co.uk/news/articles/c689jke4w310o?at_medium=RSS&at_campaign=rss,"Some say scrapping the parliament for 11 to 18-year-olds would be a blow for democracy, while others say it is overdue.","Thu, 17 Sep 2026 17:53:55 GMT"
Why US plan to sell F-35 warplanes to Saudi Arabia is controversial,https://www.bbc.co.uk/news/articles/c3x2zrn01pxko?at_medium=RSS&at_campaign=rss,"Saudi Arabia has lobbied the US for years to buy F35s, the world's most advanced fighter jet.","Fri, 18 Sep 2026 01:31:43 GMT"
Family of 'Putney pusher' suspect say he was innocent and blame police for his death,https://www.bbc.co.uk/news/articles/ckg59nq6y990o?at_medium=RSS&at_campaign=rss,The family of Nicholas Brandram said there was no forensic evidence linking him to the incident.,"Thu, 17 Sep 2026 16:51:55 GMT"
Hyrox athlete apologises for continuing race after soiling herself,https://www.bbc.co.uk/news/articles/ck0e35qyqlx0o?at_medium=RSS&at_campaign=rss,Joanna Wietrzyk has also forfeited her win in the fitness competition after competing last week.,"Thu, 17 Sep 2026 15:05:13 GMT"
BBC News app,https://www.bbc.co.uk/news/10628994?at_medium=RSS&at_campaign=rss,"Top stories, breaking news, live reporting, and follow news topics that match your interests","Wed, 30 Apr 2025 14:04:28 GMT"
Anne Hathaway and Jessica Chastain star in a psychological thriller,https://www.bbc.co.uk/iplayer/episode/m00304nj?at_mid=j1DqZnRRaM&at_campaign=Mothers_Instinct&at_medium=display_ad&at_campaign_type=owned&at_nation=NET&at_audience_id=SS&at_product=iplayer&at_brand=m00304nj&at_ptr_name=bbc&at_ptr_type=media&at_format=image&at_objective=consumption&at_link_title=Film&at_bbc_team=BBC&at_creation=Mothers_Instinct,It's the only thing you can trust. A friendship forged in motherhood is broken by a loss,"Fri, 14 Aug 2026 23:41:38 GMT"
"'Just the beginning' - Samba, 17, steals Man City show",https://www.bbc.co.uk/sport/football/articles/cqr7d30p1vjmo?at_medium=RSS&at_campaign=rss,Floyd Samba's scintillating debut stole the show at Etihad Stadium but also took the headlines away from another high-profile teenager in Manchester.,"Thu, 17 Sep 2026 22:00:18 GMT"
From -17 points to dream European start for Bournemouth,https://www.bbc.co.uk/sport/football/articles/c539mw7m0x4go?at_medium=RSS&at_campaign=rss,"Bournemouth started a League Two season on -17 points in 2008, now they have made a dream start in European competition.","Thu, 17 Sep 2026 23:30:34 GMT"
England crush Sri Lanka to seal T20 series win,https://www.bbc.co.uk/sport/cricket/articles/cm70dnrke6klo?at_medium=RSS&at_campaign=rss,England comfortably chase a below-par target of 146 to thrash Sri Lanka by six wickets and seal the three-match T20 series with a game to spare.,"Thu, 17 Sep 2026 20:55:37 GMT"
'Built differently' - Hodgkinson reveals hamstring abnormality,https://www.bbc.co.uk/sport/athletics/articles/cjx2zlpe67pvo?at_medium=RSS&at_campaign=rss,"Olympic champion Keely Hodgkinson says she is ""built differently"" after an MRI scan uncovered an ""abnormality"" in her hamstring.","Thu, 17 Sep 2026 18:04:33 GMT"
Champion Van Gerwen loses in first round to Gurney,https://www.bbc.co.uk/sport/darts/articles/crje8nkdkj28o?at_medium=RSS&at_campaign=rss,Defending champion Michael van Gerwen falls to a 6-5 defeat by Daryl Gurney in the opening round of the World Series of Darts Finals in Amsterdam.,"Thu, 17 Sep 2026 21:38:38 GMT"
